altitud,pendiente,orientacion,is_fire,date,geometry,t_max,u,v,specific_humidity,relative_humidity
65.857,7.411013,123.023254,False,2001-04-15 18:54:40,POINT (5.886528708085593 38.84014406670875),285.9560546875,1.9824562072753906,-2.598493814468384,0.0043603889644145966,52.39332580566406
15.47275,1.2876656,321.66187,False,2018-11-27 18:31:41,POINT (5.902762287893208 38.85550739395765),287.695068359375,10.114087104797363,-11.754653930664062,0.004921264946460724,48.28733444213867
277.24524,62.63166,44.600048,False,2008-08-01 14:53:52,POINT (5.924278052609366 38.81821318020557),298.08935546875,-2.9699440002441406,1.4757639169692993,0.016573574393987656,85.86004638671875
413.20276,52.60055,100.947136,False,2000-05-11 18:33:32,POINT (5.910603910736188 38.80197812247195),290.489990234375,0.28247150778770447,-0.8780105710029602,0.00903606042265892,72.56280517578125
1.252,3.3960474,355.12256,False,2012-10-27 03:06:01,POINT (5.946984397551458 38.85358823232168),293.821533203125,9.223702430725098,-1.1369937658309937,0.007832653820514679,68.46382141113281
1.23225,1.3486352,206.38692,False,2019-07-28 01:25:16,POINT (5.942187328760387 38.87276335166471),298.016357421875,1.138662338256836,-5.402894496917725,0.010956976562738419,58.12522888183594
308.76102,26.75065,84.687454,True,2015-05-14 00:00:00,POINT (5.891506052463895 38.82366926819725),300.24853515625,4.335216045379639,6.362268924713135,0.005136791616678238,27.288619995117188
67.482254,3.9596097,77.57585,False,2014-11-30 21:21:50,POINT (5.865124004984415 38.8794108388818),297.414794921875,0.4273640215396881,7.226741790771484,0.008056607097387314,51.93428039550781
5.72125,0.30005768,54.323875,False,1998-01-18 23:49:33,POINT (5.928142825398307 38.85068411525864),286.731201171875,5.755209445953369,-1.0873229503631592,0.005250614136457443,61.33586502075195
239.0315,78.068886,131.58577,False,2004-01-20 15:21:25,POINT (5.92427693238231 38.80974464686217),285.23095703125,5.904365062713623,-7.361448287963867,0.004503030329942703,58.280757904052734
172.14874,22.042505,241.83853,False,2010-04-28 00:06:45,POINT (5.953290590793216 38.84032068859755),288.05859375,-2.300246238708496,-2.011505365371704,0.008601747453212738,84.13026428222656
143.5,33.269733,153.87683,True,1993-08-07 00:00:00,POINT (5.950218103224683 38.83008304638112),300.498291015625,0.3735736906528473,0.35164666175842285,0.010314121842384338,48.91255187988281
16.6875,0.49630716,146.6104,False,2000-11-06 03:29:03,POINT (5.897698800272003 38.86275042114868),292.96240234375,11.026888847351074,7.8729987144470215,0.006432574708014727,46.60023498535156
1.0595,0.98874336,211.56,False,2004-04-08 04:39:25,POINT (5.952221852390907 38.87296034648453),286.996337890625,-6.4139556884765625,-1.8966604471206665,0.005617249757051468,61.491180419921875
1.311,3.5289435,151.45596,False,2017-06-24 07:45:56,POINT (5.939371983227321 38.88134782141559),297.166259765625,0.5724244117736816,-0.5362794995307922,0.011435683816671371,62.62408447265625
